,alamat_tempat
0,"pq4v+vph, jl. r.a. kartini, rt.1/rw.4, cilandak bar., kota jakarta selatan"
1,"bona indah plaza, jl. karang tengah raya no.1, rt.5/rw.4, lb. bulus, kota jakarta selatan"
2,"jl. lb. bulus iii no.40, rt.9/rw.7, cilandak bar., kota jakarta selatan"
3,"10, rt.4/rw.10, pondok labu, south jakarta city"
4,"jl. rs. fatmawati raya no.26, rt.1/rw.7, pd. labu, kota jakarta selatan"
5,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan"
6,"jl. terogong raya no.16, rt.10/rw.10, cilandak bar., kota jakarta selatan"
7,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan"
8,"jl. rs. fatmawati no. 15 ab gandaria selatan cilandak jakarta selatan dki jakarta rt.8, rw.6, gandaria sel., kota jakarta selatan"
9,"jl. bdn raya no.10, rt.10/rw.11, cilandak bar., kota jakarta selatan"
