,alamat_tempat
0,"jl. yon zikon 14 no.1-32, rt.6/rw.6, srengseng sawah, kota jakarta selatan"
1,"mr9c+35v, townhouse jagakarsa, jl. jagakarsa 1, rt.3/rw.2, jagakarsa, kota jakarta selatan"
2,"jl. pepaya raya no.4, rt.2/rw.5, jagakarsa, kota jakarta selatan"
3,"no., jl. raya jagakarsa no.2, rt.10/rw.2, jagakarsa, kota jakarta selatan"
4,"jl. paso no.32, rt.4/rw.4, jagakarsa, kota jakarta selatan"
5,"jalan jagakarsa blok hidayah no.10 rt.10/rw.6, rt.3/rw.6, jagakarsa, kota jakarta selatan"
6,"jl. m. khafi no.62, rt.3/rw.4, jagakarsa, kota jakarta selatan"
7,"jl. m.kahfi 1 rt 01/rw 04, jagakarsa, jagakarsa, rt.2/rw.7, jagakarsa, south jakarta city"
8,"jl. m. khafi no.5, rt.8/rw.6, ciganjur, kota jakarta selatan"
9,"jl. timbul no.37, rt.1/rw.3, cipedak, kota jakarta selatan"
