,alamat_tempat
0,"jl. bri radio dalam no.83, rt.1/rw.8, gandaria utara, kota jakarta selatan"
1,"jl. radio dalam raya no.12a, rt.7/rw.10, gandaria utara, kota jakarta selatan"
2,"jl. rs. fatmawati raya no.15, rw.5, cipete utara, kota jakarta selatan"
3,"pqpx+9g4, unnamed road, rt.1/rw.5, north cipete, south jakarta city"
4,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan"
5,"jl. panglima polim no.125a, rt.2/rw.1, pulo, kota jakarta selatan"
6,"grand wijaya blok b10, jl. wijaya ii, rt.6/rw.1, pulo, kota jakarta selatan"
7,"jl. rs. fatmawati raya no.1, gandaria utara, kota jakarta selatan"
8,"jl. petogogan ii no.18, rt.9/rw.5, pulo, kota jakarta selatan"
9,"jl. radio dalam raya blok haji hamali no.22, rt.1/rw.9, gandaria utara, kota jakarta selatan"
