,alamat_tempat
0,"jl. pahlawan no.2, rw.10, kby. lama utara, kota jakarta selatan"
1,"gg. swadaya iii no.18, rt.10/rw.9, kby. lama sel., kota jakarta selatan"
2,"blok tc, jl. metro pondok indah no.11, rt.2/rw.15, pd. pinang, kota jakarta selatan"
3,"pq7j+p92, jl. metro pondok indah, rt.3/rw.14, pd. pinang, kota jakarta selatan"
4,"jl. taman duta i no.7, rt.4/rw.14, pd. pinang, kota jakarta selatan"
5,"jl. ciputat raya no.4, rt.9/rw.2, pd. pinang, kota jakarta selatan"
6,"jl. ciputat raya 24 rt 009 rw 002, pondok pinang, kebayoran lama, rt.11/rw.15, pondok pinang, south jakarta city"
7,"jl. ciputat raya no.01, rt.11/rw.15, pd. pinang, kota jakarta selatan"
8,"pertokoan taman hijau baru, jalan bukit hijau 1 no. 14, pondok pinang, kebayoran lama, rt.1/rw.13, pd. pinang, kota jakarta selatan"
9,"jl. ciputat raya no.35, rw.10, kby. lama sel., kota jakarta selatan"
