,alamat_tempat
0,"jl. bangka iig no.11, rw.11, pela mampang, kota jakarta selatan"
1,"jl. bangka raya no.105, rt.1/rw.12, pela mampang, kota jakarta selatan"
2,"jl. bangka raya no.5d, rt.13/rw.1, bangka, kota jakarta selatan"
3,"jl. kemang raya no.8, rt.8/rw.2, bangka, kota jakarta selatan"
4,"jl. kemang raya no.36, rt.12/rw.5, bangka, kota jakarta selatan"
5,"jl. taman kemang jaya no.9, rw.2, bangka, kota jakarta selatan"
6,"jl. kemang raya no.128, rt.3/rw.2, bangka, kota jakarta selatan"
7,"jl. kemang selatan viii no.67f, rt.7/rw.2, bangka, kota jakarta selatan"
8,"spbu kemang, jl. kemang raya no.7, rw.2, bangka, kota jakarta selatan"
9,"jl. kemang raya no.15, rt.13/rw.1, bangka, kota jakarta selatan"
