,alamat_tempat
0,"jl. kalibata tengah xvi no.1, rt.5/rw.9, kalibata, kota jakarta selatan"
1,"jl. warung buncit raya no.1 a, rt.5/rw.3, kalibata, kota jakarta selatan"
2,"jl. warung buncit raya no.25, rt.7/rw.3, kalibata, kota jakarta selatan"
3,"jl. kemang utara ix no.1, rt.2/rw.5, duren tiga, kota jakarta selatan"
4,"jl. pancoran barat vii no.9a, rt.8/rw.1, duren tiga, kota jakarta selatan"
5,"jl. pancoran barat vii no.34, rt.8/rw.6, duren tiga, kota jakarta selatan"
6,"jl. pancoran barat vii, rt. 013 / rw. 006, pancoran, mampang prapatan, rt.12/rw.6, pancoran, kota jakarta selatan"
7,"jalan duren tiga barat no.32, rt.1/rw.1, duren tiga, pancoran, rt.1/rw.1, pancoran, kota jakarta selatan"
8,"jl. kalibata tengah no.1a, rt.5/rw.7, kalibata, kota jakarta selatan"
9,"prrq+c2r, jl. duren tiga selatan, rt.8/rw.2, kalibata, kota jakarta selatan"
