,alamat_tempat
0,"jl. jeruk purut no.22, rt.3/rw.3, cilandak tim., kota jakarta selatan"
1,"jalan ampera raya 2, rt.2/rw.2, cilandak tim., kota jakarta selatan"
2,"5, jl. ampera raya no.135, rt.5/rw.10, ragunan, kota jakarta selatan"
3,"pr38+55x, jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan"
4,"jl. raya cilandak kko no.3, rt.14/rw.8, ragunan, kota jakarta selatan"
5,"jl. kebagusan raya no.56, rt.10/rw.4, kebagusan, kota jakarta selatan"
6,"mrpg+f62, rt.10/rw.7, ragunan, south jakarta city"
7,"jl. gurame raya no.32, rt.2/rw.9, ps. minggu, kota jakarta selatan"
8,"apartement kebagusan city tower c unitk18192223, rt.1/rw.6, kebagusan, south jakarta city"
9,"jl. raya ps. minggu no.15d, rt.13/rw.5, ps. minggu, kota jakarta selatan"
