,alamat_tempat
0,"jl. garuda no.27, rt.5/rw.6, pesanggrahan, kota jakarta selatan"
1,"jl. damai no:71 rt 005/ rw 005, petukangan selatan, pasanggrahan, rt.7/rw.5, south petukangan, south jakarta city"
2,"jl. m.saidi raya no: 62 rt. 009 / rw. 01, petukangan selatan, pasanggrahan, rt.7/rw.5, petukangan sel., kota jakarta selatan"
3,"jl. ciledug raya no.51, rt.6/rw.4, petukangan utara, kota jakarta selatan"
4,"jl. ciledug raya no.59, rt.1/rw.3, ulujami, kota jakarta selatan"
5,"jl. ulujami raya no.11, rt.11/rw.5, ulujami, kota jakarta selatan"
6,"jl. swadarma raya blok haji nuh 1 no.9, rt.10/rw.3, ulujami, kota jakarta selatan"
7,"jl. swadarma raya no 26 rt 001 rw 008, rt.11/rw.5, ulujami, south jakarta city"
8,"jl. anggrek, rt.7/rw.5, petukangan utara, kota jakarta selatan"
9,"no., jl. m. saidi raya no.54, rt.1/rw.5, petukangan sel., kota jakarta selatan"
