,alamat_tempat
0,"jl. prof supomo no 321 blok bz persil no 19, rt.13/rw.2, tebet barat, rt.13/rw.2, tebet bar., kota jakarta selatan"
1,"jl. tebet barat dalam ivd no.88, rw.6, tebet bar., kota jakarta selatan"
2,"jl. prof. dr. soepomo no.02, rt.14/rw.6, tebet bar., kota jakarta selatan"
3,"jl. rasamala raya no.26, rt.7/rw.9, menteng dalam, kota jakarta selatan"
4,"qr9v+2q4, jalan dr. soepomo, rt.1/rw.3, menteng dalam, kota jakarta selatan"
5,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan"
6,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan"
7,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan"
8,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan"
9,"jl. albarkah no.20, rt.7/rw.3, manggarai sel., kota jakarta selatan"
